equipo,valor_total_mercado,valor_promedio_jugador,edad_promedio,valor_jugador_mas_valioso,jugadores_top5_ligas,jugadores_champions,dato_estimado
Francia,1520,58.46,27.2,180,23,19,0
Inglaterra,1360,52.31,26.8,130,26,18,0
España,1220,46.92,25.6,200,22,17,0
Portugal,1010,38.85,28.1,140,20,16,0
Alemania,947,36.42,25.9,100,21,16,0
Brasil,928.2,35.70,26.5,140,18,14,0
Argentina,807.5,31.06,28.3,100,17,12,0
Países Bajos,754.2,29.01,26.7,80,20,15,0
Noruega,589.9,22.69,26.3,200,17,11,0
Bélgica,547.5,21.06,28.9,75,19,13,0
Costa de Marfil,522.1,20.08,27.1,90,16,11,0
Senegal,478.1,18.39,27.4,55,15,9,0
Turquía,473.7,18.22,27.6,90,14,9,0
Marruecos,447.7,17.22,27.0,80,15,10,0
Suecia,406.08,15.62,27.8,85,14,9,0
Croacia,387.3,14.90,28.5,70,14,11,0
Estados Unidos,385.6,14.83,25.9,40,15,7,0
Ecuador,368.7,14.18,26.2,100,12,8,0
Uruguay,359.3,13.82,27.7,90,14,9,0
Suiza,332.5,12.79,27.5,50,13,8,0
Colombia,302.35,11.63,27.3,70,12,8,0
Japón,270.85,10.42,26.1,40,10,6,0
Argelia,256.9,9.88,27.8,35,11,6,1
Austria,245.2,9.43,26.5,32,12,6,0
Ghana,234.5,9.02,26.9,80,13,8,0
Canadá,198.65,7.64,26.2,40,12,5,0
México,191.85,7.38,27.4,18,7,3,0
República Checa,188.18,7.24,27.1,22,10,5,0
Escocia,170.25,6.55,27.3,40,9,4,0
Paraguay,153.65,5.91,26.8,25,7,3,0
Bosnia y Herzegovina,146.4,5.63,27.5,25,8,4,0
Congo DR,143.9,5.54,26.7,35,9,5,0
Corea del Sur,139.05,5.35,27.2,28,8,3,0
Egipto,116.48,4.48,27.6,50,7,3,0
Uzbekistán,85.33,3.28,26.0,50,4,2,0
Australia,77.45,2.98,27.4,12,7,3,0
Túnez,69.95,2.69,27.8,15,7,3,0
Haití,55.9,2.15,26.3,18,5,2,1
Cabo Verde,49.25,1.89,27.5,15,6,3,0
Sudáfrica,49.25,1.89,27.1,8,5,2,0
Arabia Saudí,40.68,1.56,27.3,9,2,0,0
Panamá,34.55,1.33,27.8,7,4,1,1
Nueva Zelanda,34.45,1.32,27.2,5,4,1,0
Irán,32.05,1.23,28.1,4.5,3,0,0
Curazao,25.78,0.99,27.0,4,3,1,0
Iraq,21.2,0.82,27.5,3.5,1,0,0
Jordania,20.3,0.78,27.3,10,3,0,0
Qatar,19.93,0.77,27.6,8,1,0,0
